Frame,Distance_X,Horizontal_Position,Distance_Y,Vertical_Position
15,190,Solda,65,Aþaðýda
17,117,Solda,67,Aþaðýda
24,212,Solda,47,Aþaðýda
26,222,Solda,49,Aþaðýda
28,236,Solda,52,Aþaðýda
30,237,Solda,50,Aþaðýda
32,254,Solda,53,Aþaðýda
34,249,Solda,55,Aþaðýda
36,107,Saðda,0,Yukarýda
38,130,Saðda,0,Yukarýda
40,259,Solda,62,Yukarýda
42,258,Solda,60,Yukarýda
44,250,Solda,59,Yukarýda
46,253,Solda,59,Yukarýda
48,1,Saðda,176,Aþaðýda
50,193,Solda,70,Yukarýda
52,19,Solda,184,Aþaðýda
54,11,Solda,183,Aþaðýda
56,9,Solda,183,Aþaðýda
58,104,Solda,46,Yukarýda
60,205,Saðda,29,Yukarýda
62,228,Solda,75,Yukarýda
64,31,Saðda,0,Yukarýda
66,23,Saðda,0,Yukarýda
73,20,Saðda,0,Yukarýda
78,368,Solda,71,Yukarýda
80,335,Solda,61,Aþaðýda
85,324,Solda,110,Aþaðýda
87,306,Solda,92,Yukarýda
98,44,Saðda,0,Yukarýda
102,21,Saðda,0,Yukarýda
105,56,Saðda,0,Yukarýda
109,242,Solda,101,Yukarýda
111,277,Solda,100,Yukarýda
113,258,Solda,107,Yukarýda
116,251,Solda,108,Yukarýda
118,52,Solda,155,Yukarýda
120,32,Saðda,33,Aþaðýda
122,13,Saðda,182,Aþaðýda
124,10,Saðda,159,Aþaðýda
126,8,Saðda,161,Aþaðýda
128,14,Saðda,167,Aþaðýda
130,0,Solda,166,Aþaðýda
132,6,Solda,171,Aþaðýda
134,7,Solda,173,Aþaðýda
136,7,Solda,173,Aþaðýda
138,7,Saðda,182,Aþaðýda
140,9,Saðda,178,Aþaðýda
142,1,Saðda,174,Aþaðýda
144,5,Solda,171,Aþaðýda
146,85,Solda,173,Aþaðýda
148,53,Solda,175,Aþaðýda
150,29,Solda,174,Aþaðýda
152,25,Solda,175,Aþaðýda
154,179,Solda,102,Yukarýda
156,166,Solda,91,Yukarýda
158,10,Saðda,55,Yukarýda
160,219,Saðda,71,Yukarýda
162,187,Saðda,61,Yukarýda
164,185,Saðda,60,Yukarýda
166,183,Saðda,62,Yukarýda
168,188,Saðda,65,Yukarýda
170,193,Saðda,66,Yukarýda
172,196,Saðda,75,Yukarýda
174,159,Solda,103,Yukarýda
176,153,Solda,104,Yukarýda
178,153,Solda,104,Yukarýda
180,32,Solda,182,Aþaðýda
182,147,Solda,104,Yukarýda
184,145,Solda,104,Yukarýda
186,145,Solda,103,Yukarýda
188,114,Solda,89,Yukarýda
189,92,Solda,78,Yukarýda
190,91,Solda,73,Yukarýda
191,101,Solda,69,Yukarýda
194,222,Solda,95,Yukarýda
196,291,Solda,93,Yukarýda
